# All entities with Wikidata QIDs
qid,english_label,english_description,wikidata_ids
Q78013,秋田肥季,1812 - 28 May 1865,Q8514674
Q78016,Hotta Masatsugu,3rd daimyō of Sano Domain,Q11427655
Q78019,Shumpachi Hōjō,Japanese politician in the middle 20th century,Q11402206
Q78022,松井保仲,,Q110309777
Q78025,Naonori Imaeda,Japanese politician (1870–1942),Q51166389
Q78028,冷泉為臣,,Q113207031
Q78031,冷泉布美子,,Q113207358
Q78034,Bōjō Toshinaga,15 Aug 1893 - 30 May 1966,Q16865306
Q78037,Andō Yoshikado,,Q11068066
Q78040,Ikeda Masayuki (Baron),,Q111049228
Q78043,Mitsusaburō Tokura,,Q17221663
Q78046,Manabe Akisane,(1790-1814),Q11655468
Q78049,Naitō Masahisa,,Q10514820
Q78052,Naitō Masaoki,,Q10514836
Q78055,Yasuhiro Toda,Japanese diplomat,Q18234016
Q78061,Naitō Masayasu,daimyo of the late Edo period; 13th lord of Yunagaya,Q8514926
Q78064,Takaharu Kuki,Son of Tatatomo Kuki,Q108528437
Q78067,Takateru Kuki,Seventh son of Takayoshi Kuki. A former feudal lord of Sanda-han.,Q106769600
Q78070,Yoshiko Kuki,"Spouse of Kōjirō Matsukata, Second daughter of Takayoshi Kuki",Q111303567
Q78073,Ōtawara Kazukiyo,Japanese politician,Q11437875
Q78076,Tsuchiya Masakatsu,,Q56618808
Q78079,後藤正明,,Q11488534
Q7808,Fun'ya no Watamaro,Japanese soldier (0765-0823),Q2713178
Q78082,Nabeshima Shigeyoshi,11 Dec 1800 - 16 Jan 1863,Q11650704
Q78085,Nanbu Toshimasa,,Q8513940
Q78088,Tozawa Masatsugu,,Q8514170
Q78091,三条西浜子,,Q110892562
Q78094,三条西公正,,Q110889093
Q78097,風早公武,,Q110888966
Q78100,東益之,,Q108914066
Q78103,東頼数,,Q110273360
Q78106,Uchigashima Ujimasa,,Q11393847
Q78109,Ii Naonaka,daimyo of Hikone domain,Q10882408
Q78112,Maeno Katsutatsu,,Q123415679
Q78115,Ijiri Yoshinaga,,Q123415657
Q78118,Hirase Terunari,,Q123415381
Q7812,Fun'ya no Miyatamaro,,Q11499944
Q78121,Honda Tadatoshi,"[本多忠俊] samurai in the Sengoku period; lord of Ina, Mikawa province",Q11520006
Q78124,本多重正,,Q108803108
Q7813,Funja no Bunshi,,Q108704614
Q78130,Ōta Sukemoto,daimyo,Q8081727
Q78133,Kutsuki Tsunaharu,28 Aug 1816 - 30 Mar 1867,Q10518012
Q78136,米倉恒子,,Q108095357
Q78139,Abe Masahisa,12 Dec 1827 - 7 Apr 1864,Q8013925
Q78142,Toshinaka Ōkubo,Japanese politician,Q24254339
Q78145,Ōkubo Toshitake,Japanese bureaucrat,Q11431924
Q78148,Nobumichi Makino,,Q115530919
Q7815,Kiyohara no Natsuno,,Q11560500
Q78151,Mishima Michitsune,Japanese politician (1835-1888),Q4142982
Q7818,Inakimi Otomo,,Q11432352
Q78181,Kigoshi Yasutsuna,Japanese politician,Q1741164
Q78184,Kaisen Iguchi,Japanese businessperson,Q11373437
Q78187,Fuki Hatakeyama,,Q84081285
Q78190,Reiko Gotō,Japanese tea ceremony practitioner,Q11372656
Q78193,Takatoshi Senge,,Q97625820
Q7820,Kakinomoto no Etari,,Q97819142
Q78211,Yoriaki Matsudaira,Japanese contemporary music composer and biophysicist (1931-2023),Q2308027
Q78214,Naitō Yorihiro,Japanese lawyer,Q10517187
Q78217,大村純保,,Q11436051
Q78220,大村鎮 (板倉勝晙の正室),,Q111090517
Q78223,Matsudaira Noriyoshi,14 Dec 1827 - 11 Jul 1850,Q10729479
Q78226,Satō Sankichi,Japanese medical scientist (1857–1943),Q7426991
Q78229,Tōdō Takatō,,Q11623768
Q7823,Ishikawa no Kakimori,,Q11585745
Q78232,Tōdō Takayuki,,Q11623765
Q78235,藤堂澤子,,Q108486784
Q78238,Matsudaira Yasunari,,Q128865484
Q78241,Yasunaka Itsutsuji,19 Feb 1845 - 9 Feb 1905,Q22124758
Q78244,Nishiitsutsuji Ayanaka,3 Feb 1859 - 17 Apr 1935,Q48760707
Q78247,Abe Masanori,21 Jan 1840 - 4 Jul 1861,Q10565429
Q78250,大河内信好,,Q108101360
Q78253,大河内一子,,Q108101385
Q78256,Matsudaira Tadayuki,"son of Matsudaira Tadaakira, daimyo of Kori",Q11530446
Q78259,Matsudaira Tadayuki,[松平忠恕] daimyo of the late Edo period; 4th (last) lord of Obata,Q11530432
Q78262,前田利功,7 Jul 1888 - 21 Feb 1962,Q60990288
Q78265,石川尚子,,Q108683735
Q78268,井原元造,,Q58420269
Q78271,Atsuko Banno,Japanese businesswoman,Q27907767
Q78274,Katsunosuke Inoue,Japanese diplomat (1861-1929),Q772410
Q78277,森祐三郎,,Q108670512
Q78280,Itō Hirokuni,Japanese politician (1870-1931),Q40033292
Q78283,Inoue Takeko,,Q115531054
Q78286,Shidō Sumeragi,Japanese pedagogue,Q11581098
Q78289,大久保忠学,,Q111119668
Q78292,Ōoka Tadayoshi,,Q7222476
Q78295,戸川達安の娘 (堀直景の正室のち岡家重の妻),,Q108896769
Q78298,西尾光教の娘 (堀直景の継室),,Q108896772
Q78301,堀直行,,Q113244841
Q78304,Matsudaira Tadanari,[松平忠礼] daimyo of the late Edo period and politician of modern Japan,Q11069891
Q78307,Matsudaira Tadaatsu,Japanese-American engineer,Q11069807
Q7831,Ki no Natora,,Q11605004
Q78310,松平芳,,Q108095516
Q78313,内藤幸姫,,Q108095660
Q78316,Makino Yasumasa,,Q10860173
Q78319,Tōyama Tomomasa,,Q11642010
Q78322,Tōyama Tomokiyo,,Q11642014
Q78325,長宗我部兼能,,Q62601630
Q78328,肝付兼逵,,Q11611484
Q78331,Maeno Yorifusa,,Q115586265
Q78334,藤谷為兄,,Q113208183
Q78337,Fujinami Kagetada,Japanese court noble,Q108780921
Q78340,Kawakatsu Ujisada,,Q11366429
Q78343,Shō Iku,King of Ryūkyū,Q907309
Q78346,"Gentei, Sashiki Ajiganashi",spouse of Shō Iku,Q10918068
Q78349,Nakijin Chōfu,,Q11039428
Q78352,Shō Jun,Crown Prince of Ryukyu,Q74179865
Q78355,Sakuma Seimō,sanshikan of Ryukyu,Q77242119
Q78358,Shō Rin,,Q53764950
Q7836,Fujiwara no Fujitsugu,Japanese noble,Q11623525
Q78361,Sho Sen,,Q28356946
Q78364,Maki Shō,,Q105541187
Q78367,Matsudaira Chikatomo,[松平近朝] daimyo of the middle Edo period; 3rd lord of Hirose,Q11530608
Q7837,Fujiwara no Takafusa,Japanese aristocrat in the early Heian period,Q11623651
Q78370,Matsudaira Naoyoshi,[松平直義] daimyo of the late Edo period; 7th lord of Hirose,Q11530547
Q78373,Naoyoshi Matsudaira,Japanese politician (1870-1942),Q51574482
Q78376,Seimin Miyazaki,Japanese politician,Q21655821
Q78379,Seiryū Miyazaki,Japanese journalist,Q121355479
Q7838,Fujiwara no Miyafusa,Japanese aristocrat in the early Heian period,Q27920753
Q78382,Fumi Maeda,,Q110064666
Q78385,前田下學,,Q110064651
Q78388,前田清人,,Q110064671
Q7839,Sano no Chigami no Otome,"8th-century Japanese poet, palace attendant",Q21855552
Q78391,Tsuna Maeda,,Q11397479
Q78394,Togama Maeda,Japanese philosopher,Q121355811
Q78397,Harry McClure Johnson,barrister,Q27177951
Q78400,Helena Modjeska Chase,American artist and author,Q27177944
Q78445,Yasuda Yagorō,Jun 1838 -,Q95576155
Q78448,Yasuda Zensuke,12 Aug 1872 -,Q79017252
Q78451,Eisuke Ono,(1902-1975),Q95422055
Q78454,Yoko Ono,Japanese artist and activist based in the United States,Q105359
Q78457,Kataoka Nizaemon XI,Japanese kabuki actor (1858-1934),Q11569671
Q7846,Tajihi no Ujimori,,Q106220802
Q78460,Kataoka Gatō V,Japanese kabuki actor,Q11569729
Q78463,Kataoka Hidetarō II,Japanese kabuki actor,Q11569767
Q78466,Kataoka Nizaemon XV,Japanese actor and kabuki actor,Q11569672
Q78469,Shizuka Kataoka,Japanese actor,Q11569788
Q78472,Yukiko Yasuda,(1906-1947),Q95579389
Q78475,Masako Yasuda,1911-,Q95579473
Q78478,Fujio Yasuda,(1931-1982),Q57314501
Q78481,Shikio Yasuda,Japanese architect,Q95580125
Q78484,Watanabe Renkichi,(1854-1925),Q17217783
Q78487,Ōkubo Toshiyo,(1794-1863),Q11431922
Q78490,Shinako Takahashi,1865 - certain 1946,Q108780272
Q78493,Korekata Takahashi,Japanese businessperson (1877-1949),Q21700261
Q78496,Takahashi Korefuku,,Q97626317
Q78499,錦小路誠子,,Q110967193
Q78502,馬越武子,,Q109246495
Q78505,盧高朗,,Q108111587
Q78508,荒木こう,,Q109246732
Q78511,Koretsuna Kamei,(1884-1942),Q11370773
Q78514,Hisaoki Kamei,Japanese politician,Q1620640
Q78517,"Yixuan, Prince Chun",Qing Dynasty prince,Q2982450
Q78520,Lingiya,Chinese noble,Q6470338
Q78523,Guangxu Emperor,Chinese emperor (1871-1908),Q299710
Q78526,Zaitao,Qing Dynasty prince (1887-1970),Q8064893
Q78529,"Zaixun, Prince Rui",Qing Dynasty prince,Q8173654
Q78532,Yunhe,Chinese Manchu princess,Q131307970
Q78535,Ronglu,Qing Dynasty politician (1836-1903),Q705554
Q78538,Wanzhen,,Q96200398
Q78541,Empress Wanrong,"wife of Puyi, Empress of China (1906-1946)",Q464563
Q78544,Tan Yuling,Concubine of Chinese Emperor Puyi (1920–1942),Q708839
Q78547,Wenxiu,Qing Dynasty imperial consort (1909–1953),Q434584
Q78550,Li Yuqin,Chinese concubine (1928-2001),Q699692
Q78553,Li Shuxian,Wife of Chinese emperor (1925–1997),Q698749
Q78556,Jin Yuzhang,Heir to Chinese throne,Q6201961
Q78559,Jin Yuquan,,Q8974039
Q78562,Jin Yulan,Chinese educator,Q8974048
Q78565,Zheng Shuang,Chinese artist,Q18207662
Q78568,Q133809532,,Q133809532
Q78571,藤堂高英,,Q115586800
Q78574,Tōdō Takaharu,,Q11623754
Q78577,Matsudaira Noriyasu,,Q10729464
Q7858,Ono no Tsukura,,Q17989850
Q78580,Makino Takashige,17 Jun 1832 - 16 Apr 1869,Q10860130
Q78583,Yasuda Tora,1878 -,Q95576593
Q78586,Mizuno Tadakuni,daimyo,Q2975848
Q78589,Ai Inoue (legal wife of Tadasei Mizuno),,Q134600252
Q78592,Mizuno Tadahiro,Japanese nobleman,Q8515146
Q78595,水野忠美,,Q134601027
Q78598,水野清子,,Q134602515
Q78601,Dongcheon,Goguryeo dynasty king of Korea from 227 to 248,Q498590
Q78604,Park Beonsin,,Q28776570
Q78607,Q28776586,,Q28776586
Q78610,Q84511508,,Q84511508
Q7862,Miyori Otomo,,Q22125684
Q7863,Minaka Otomo,,Q28688667
Q7865,Awata no Hitokami,,Q20038575
Q7866,Tachibana no Nagatsugu,,Q11544313
Q7867,Tachibana no Nagana,,Q11544312
Q7868,Tachibana no Hayanari,Japanese calligrapher (0782-0844),Q1062686
Q7870,Tachibana no Tsunenushi,,Q11544271
Q7871,Tachibana no Hasemaro,,Q11544359
Q78744,Li Yong (Xi Jin),,Q22813557
Q78747,"Empress Mi, of the Du clan",,Q8253745
Q78750,"Zhaoyi, of the Yujiulü clan",rouran consort,Q8253775
Q78753,Empress Helian,Chinese empress,Q1017975
Q78756,Emperor Daowu of Northern Wei,"founding emperor of Northern Wei (during the Northern dynasties period, China)",Q1149178
Q78759,"Empress Xuanmu, of the Liu clan",,Q8253724
Q7876,Tachibana no Kachiko,Japanese empress (786-850),Q1058216
Q78762,Princess Huayin,,Q16603337
Q78765,Princess Huoze,,Q16603505
Q78768,Tuoba Xi,,Q11077213
Q78771,Tuoba Shao,Prince Qinghe,Q11077219
Q78774,Tuoba Yao,,Q11077203
Q78777,Tuoba Xiu,,Q11077225
Q7878,Tachibana no Ujihito,,Q11544309
Q78780,Tuoba Chuwen,,Q11077230
Q78783,Tuoba Lian,,Q11077240
Q78786,Tuoba Li,,Q11077248
Q78789,Consort Yao,Chinese Imperial consort,Q1079584
Q7879,Tachibana no Ujikimi,,Q11544310
Q78792,穆観,,Q14554883
Q78795,穆寿,,Q14565685
Q78798,姚黄眉,,Q17023789
Q7880,Tachibana no Yasumanko,,Q106087356
Q78801,Helian Chang,2nd emperor of Xia (Sixteen Kingdoms of Chinese historical period),Q1149447
Q78804,Tuoba Liang,,Q15914775
Q78807,Q133473091,,Q133473091
Q78810,Tang Zi,Northern Wei person CBDB = 17864,Q45387485
Q78813,Tang Qin,Northern Wei person CBDB = 31094,Q45419078
Q78816,Tang Chun,Northern Wei person CBDB = 31437,Q45419704
Q78820,Tang Bao,"person, CBDB = 182352",Q45455399
Q78823,Li Gui,Northern Wei person CBDB = 32730,Q45422082
Q78826,Li Chongjie,Sui dynasty person CBDB = 31126,Q15931510
Q78829,Li Chongxin,Sui dynasty person CBDB = 31127,Q45419137
Q7883,Fujiwara no Michinaga (Nanke),Japanese politician (late 8C - early 9C),Q11623595
Q78832,Li Chongying,Sui dynasty person CBDB = 31129,Q45419141
Q78835,Li Chongbi,"person, CBDB = 173391",Q45542239
Q78838,Q61743596,,Q61743596
Q78841,Q60991677,,Q60991677
Q78844,Li Zhifang,Tang dynasty person CBDB = 186965,Q45692429
Q78847,Li Junfang,Tang dynasty person CBDB = 186966,Q45692457
Q7885,Ishikawa no Kakimori's daughter,,Q106213360
Q78850,Li Jushi,Tang dynasty person CBDB = 186991,Q45693074
Q78853,Thothori Nyantsen,Tibetan king,Q887022
Q78856,Tamacha Khan,Genghis Khan's ancestor,Q3980544
Q78859,Li Ju,Tang dynasty person CBDB = 187280,Q45700357
Q78862,Li Jiong,Tang dynasty person CBDB = 187281,Q45700383
Q78865,度易侯,,Q11063420
Q78868,仏輔,,Q10886831
Q78871,Li Rui,"person, CBDB = 187318",Q45701256
Q78874,Li Zhen,"person, CBDB = 187319",Q45701281
Q78877,Li Qian,"person, CBDB = 187321",Q45701330
Q7888,Fujiwaraa no Otakawa,,Q17212248
Q78880,Li Shaowei,"person, CBDB = 187327",Q45701477
Q78883,Li Zhongyong,Tang dynasty person CBDB = 187348,Q45436767
Q78886,Li Yuan,Tang dynasty person CBDB = 187349,Q45436829
Q78889,Li Zhaoer,Tang dynasty person CBDB = 141955,Q45550935
Q7889,Fujiwara no Kazuko,Japanese court lady in the late Nara and early Heian period,Q97674245
Q78892,Li Menggui,"person, CBDB = 160105",Q45634234
Q78895,Qu Lianghan,Tang dynasty person CBDB = 158619,Q45571780
Q78898,Li Shi,wife of Quyuanzhen,Q65806192
Q78901,Qu Sixuan,Tang dynasty person CBDB = 158620,Q45571840
Q78904,Qu Sizhi,Tang dynasty person CBDB = 158621,Q45571898
Q78907,Qu Sili,Tang dynasty person CBDB = 158622,Q45571962
Q7891,Fujiwara no Kakomaro,,Q17212255
Q78910,Qu Siyan,Tang dynasty person CBDB = 158623,Q45572023
Q78913,Helan Fan,"person, CBDB = 151573",Q45500304
Q78916,Li Hanhe,Tang dynasty person CBDB = 187017,Q45693745
Q78919,Li Zhipu,Tang dynasty person CBDB = 187020,Q45693829
Q7892,Mamoru Fujiwara,,Q11623531
Q78922,Li Kexin,Tang dynasty person CBDB = 187022,Q45693887
Q78925,Li Guangyuan,Tang dynasty person CBDB = 187024,Q45693941
Q78928,Li Xuandou,Tang dynasty person CBDB = 187025,Q45693970
Q78931,Li Kecheng,Tang dynasty person CBDB = 187026,Q45693998
Q78934,Li Keli,Tang dynasty person CBDB = 187027,Q45694025
Q78937,Li Xiaodou,Tang dynasty person CBDB = 187028,Q45694053
Q78940,Li Xiaoxiu,Tang dynasty person CBDB = 187029,Q45694082
Q78943,Li Wenchun,Tang dynasty person CBDB = 187038,Q45694321
Q78946,Li Wenfang,Tang dynasty person CBDB = 187045,Q45694512
Q78949,Li Wenjing,Tang dynasty person CBDB = 187049,Q45694624
Q7895,Fujiwara no Fuyutsugu,Japanese noble,Q3090616
Q78952,Li Wenxun,Tang dynasty person CBDB = 187057,Q45694846
Q78955,Li Wenming,Tang dynasty person CBDB = 187065,Q45695064
Q78958,Li Chenghui,Tang dynasty person CBDB = 187114,Q45696301
Q78961,Li Renjing,Tang dynasty person CBDB = 187118,Q45696407
Q78964,Li Renxu,Tang dynasty person CBDB = 187143,Q45697045
Q78967,Li Fu,Tang dynasty person CBDB = 187204,Q45698610
Q7897,Fujiwara no Manatsu,noble,Q11623425
Q78970,Li Xiang,Tang dynasty person CBDB = 187206,Q45698662
Q78973,Li Ze,Tang dynasty person CBDB = 187207,Q45698689
Q78976,Li Ge,Tang dynasty person CBDB = 187160,Q45697476
Q78979,Li Qing,Tang dynasty person CBDB = 187162,Q45697528
Q78982,Li Mu,Tang dynasty person CBDB = 187165,Q45697603
Q78985,Li Dong,Tang dynasty person CBDB=187166,Q45697628
Q78988,Li Hong,Tang dynasty person CBDB = 187167,Q45697657
Q7899,Fujiwara no Futakimaro,Japanese aristocrat in the early Heian period,Q11623435
Q78991,Li Hong,Tang dynasty person CBDB = 187168,Q45697682
Q78994,Li Wen,Tang dynasty person CBDB = 187169,Q45697708
Q78997,Li Yuanbao,Tang dynasty person CBDB = 187170,Q45697733
Q79000,Li Meng,Tang dynasty person CBDB = 187172,Q45697783
Q79003,Li Yuanli,Tang dynasty person CBDB = 187173,Q45697809
Q79006,Li Jun,Tang dynasty person CBDB = 187181,Q45698011
Q79009,Li Rong,Tang dynasty person CBDB = 187185,Q45698117
Q7901,Fujiwara no Chikanari,,Q11623272
Q79012,Li Yu,Tang dynasty person CBDB = 187188,Q45698194
Q79015,Li Zao,Tang dynasty person CBDB = 187191,Q45698272
Q79018,Li Xu,Tang dynasty person CBDB = 187193,Q45698327
Q79021,Li Qin,Tang dynasty person CBDB = 187194,Q45698351
Q79024,Li Xiang,Tang dynasty person CBDB = 187215,Q45698896
Q79027,Li Yuangui,"person, CBDB = 187594",Q45450599
Q79030,Li Qu,"person, CBDB = 187589",Q45450284
Q79033,Li Zheng,"person, CBDB = 187581",Q45449781
Q79036,Sun Mou,Tang dynasty person CBDB = 141895,Q45548517
Q79039,Sun Gong,Tang dynasty person CBDB = 168350,Q45535636
Q79043,Li Shi,wife of Sun Huang,Q65808928
Q79046,Sun Yong,Tang dynasty person CBDB = 142049,Q45554999
Q79049,Sun Kui,"person, CBDB = 179687",Q45595055
Q79052,Sun Chiyi,Tang dynasty person CBDB = 143649,Q45633104
Q79055,Sun Zhuo,Tang dynasty person CBDB = 144930,Q45645097
Q79058,Sun Gao,"person, CBDB = 160923",Q45439942
Q7906,Fujiwara no Nagasada,,Q17212354
Q79061,Sun Erhe,"person, CBDB = 168355",Q45535762
Q79064,Sun Anong,"person, CBDB = 168356",Q45535826
Q79067,Sun Aquan,"person, CBDB = 168357",Q45535891
Q79070,Sun Anu,"person, CBDB = 168358",Q45535954
Q79073,Yuan Shangke,Tang dynasty person CBDB = 186732,Q45686606
Q79076,Li Renlu,"person, CBDB = 187551",Q45448081
Q79079,Li Renying,"person, CBDB = 187557",Q45448460
Q7908,Abe no Moku,,Q106206003
Q79082,Yu Cheng,Tang dynasty person CBDB = 156728,Q45489430
Q79085,Li Shi,wife of Yujiwen,Q65805844
Q79088,Yu Qiniang,Tang dynasty person CBDB = 156729,Q45489491
Q79091,Yu Baniang,Tang dynasty person CBDB = 156730,Q45489556
Q79094,Yu Liuniang,Tang dynasty person CBDB = 156731,Q45489619
Q79097,Yu Yue,Tang dynasty person CBDB = 156732,Q45489685
Q79100,Yu Zong,Tang dynasty person CBDB = 156734,Q45489814
Q79103,Meng Qi,Tang dynasty person CBDB = 185771,Q45649939
Q79106,Li Jingyu,"person, CBDB = 187509",Q45445506
Q79109,Li Jingyue,"person, CBDB = 187513",Q45445756
Q79112,Li Qiu,"person, CBDB = 187534",Q45447078
Q79115,Li Qian,"person, CBDB = 187535",Q45447140
Q79118,Li Yin,"person, CBDB = 187536",Q45447203
Q79121,Dou Shiliang,"person, CBDB = 158838",Q45580471
Q79124,Cui Hao,"Chinese writer, historian and politician",Q711418
Q79127,Cui Mou,Tang dynasty person CBDB = 176866,Q45441657
Q79130,Cui Shending,Tang dynasty person CBDB = 176871,Q45441976
Q79133,Cui Yizhi,"person, CBDB = 150993",Q45472026
Q79136,Cui Shu,Tang dynasty person CBDB = 140509,Q45481327
Q79139,Cui Sheng,Tang dynasty person CBDB = 176910,Q45444008
Q79142,Cui Zhuangzi,Tang dynasty person CBDB = 150069,Q45676899
Q79145,Yang Yuanjing,"person, CBDB = 172417",Q45491252
Q79148,Yang Yuangong,"person, CBDB = 172418",Q45491314
Q7915,Haji no Hodo,powerful clan during the Asuka period,Q58420107
Q79151,Yang Yuanyue,"person, CBDB = 172420",Q45491442
Q79154,Liu Fan,Tang dynasty person CBDB=32584,Q45421817
Q79157,Liu Fan,Tang dynasty person CBDB = 151372,Q45490681
Q7916,Sakanoue no Tamuramaro,General and shogun,Q941979
Q79160,Liu Mou,Tang dynasty person CBDB = 178169,Q45510888
Q79163,Liu Mou,Tang dynasty person CBDB = 178175,Q45511272
Q79166,Liu Cunye,Tang dynasty person CBDB = 178186,Q45511968
Q79169,Liu Dun,Tang dynasty person CBDB = 145965,Q30942074
Q79172,Liu Jing,Tang dynasty person CBDB = 178192,Q45512348
Q79175,Liu Fang,Tang dynasty person CBDB = 32461,Q10350785
Q79178,Liu A,Tang dynasty person CBDB = 33142,Q45422853
Q7918,Kudaranokonikishi Shuntetsu,Japanese soldier,Q11580789
Q79181,Q61744120,,Q61744120
Q79184,裴英起,,Q28412911
Q79187,Liu Mou,Tang dynasty person CBDB = 178215,Q45513552
Q7919,Sakanoue no Karitamaro,samurai,Q3137722
Q79190,Liu Wan,Tang dynasty person CBDB = 145964,Q45486987
Q79193,Liu Shi,daughter of Liu Rui,Q65803828
Q79196,Liu Zhen,Tang dynasty person CBDB = 18328,Q11110062
Q79199,Liu Yushi,Tang dynasty person CBDB=32811,Q45422231
Q7920,Fujiwara no Kadonomaro,,Q11623522
Q79202,Li Shi,Tang dynasty person CBDB = 32779,Q45422173
Q79204,Liu Yinggui,Tang dynasty person CBDB = 178110,Q45507972
Q79207,Tian Che,"person, CBDB = 167702",Q45507357
Q7921,Fujiwara no Michio,,Q11623597
Q79210,Q30946281,,Q30946281
Q79213,Dou Zhirou,Tang dynasty person CBDB = 172227,Q45480712
Q79216,Yuwen Qiubuqin,Mongol chieftain,Q8062186
Q79219,Yuwen Yan,Tang dynasty person CBDB = 173096,Q10946188
Q7922,Fujiwara no Michitsugu,,Q11623593
Q79222,Su You,Northern Wei person CBDB = 11592,Q45371936
Q79225,Q16903918,,Q16903918
Q79228,Q16903915,,Q16903915
Q7923,Fujiwara no Takatoshi,Japanese court noble from the Nara and early Heian period,Q11623002
Q79231,穆羆,,Q14574527
Q79234,穆亮,,Q15911544
Q79237,Q19822676,,Q19822676
Q7924,Yoshinawa Fujiwara,,Q11623506
Q79240,Tuoba Ti,,Q11077201
Q79243,Q19822677,,Q19822677
Q79246,元嘉 (広陽王),,Q15908186
Q79249,Yuan Rong,,Q11388049
Q79252,元凝,,Q11387785
Q79255,Q16603736,,Q16603736
Q79258,元熙,,Q17990816
Q79261,元略,,Q15243421
Q79264,元廞,,Q17990818
Q79267,Q38977182,,Q38977182
Q7927,Ise no Tsugiko,court lady of emperor heizei,Q11379118
Q79270,元均 (西魏),,Q9397883
Q79273,Q22814837,,Q22814837
Q79276,元子孝,,Q10889625
Q79279,Q55716100,,Q55716100
Q7928,Fujiwara no Tadanushi's eldest daughter,,Q106080128
Q79282,Q109410746,,Q109410746
Q79285,Q16904627,,Q16904627
Q79288,Q22814843,,Q22814843
Q7929,Fujiwara no Kusuko,court lady of Emperor Heizei,Q10514092
Q79291,Q21094110,,Q21094110
Q79294,Q22814842,,Q22814842
Q79297,元仲景,,Q11387773
Q7930,Fujii no Fujiko,Court lady of Emperor Heizei,Q106189066
Q79300,元暹,,Q11387888
Q79303,Q21094126,,Q21094126
Q79306,元顕恭,,Q11388082
Q79309,元徽 (北魏),,Q11387861
Q79312,元世儁,,Q11387765
Q79315,元弼,,Q11387858
Q79318,Q19653897,,Q19653897
Q79321,Li Xie,,Q18236180
Q79324,Li Jiang,,Q18236198
Q79327,Lưu Huy,,Q61133485
Q79330,Q133503991,,Q133503991
Q79333,Cui Zongbo,Northern Wei person CBDB = 32628,Q19849455
Q79336,Cui Xiu,Northern Wei person CBDB = 17726,Q11053322
Q79339,Cui Gonghua,Northern Zhou person CBDB = 32632,Q45421903
Q79342,Cui Ziling,"person, CBDB = 177182",Q45459560
Q79345,Feng He,,Q10895278
Q79348,Feng Rong,,Q28478756
Q7935,Tajihi no Takako,,Q48764129
Q79351,Princess Dowager Zhang,Chinese Princess Dowager,Q7244602
Q79354,Princess Sun,Northern Yan empress,Q7244839
Q79357,Feng Yong,,Q10895382
Q79360,Feng Yi,,Q15900211
Q79363,Feng Shouju,,Q16903279
Q79366,Princesse Lelang,rouran princess,Q11120813
Q79369,Q16075870,,Q16075870
Q79372,Q28478880,,Q28478880
Q79375,陸馛,,Q15263083
Q79378,陸希質,,Q18236238
Q79381,Lu Xijing,"person, CBDB = 163117",Q45533863
Q79384,Tuoba Shu,Northern Wei person CBDB = 32886,Q15930040
Q79387,Q20688078,,Q20688078
Q79390,Q18118158,,Q18118158
Q79393,Cui ?,,Q45453261
Q79396,Cui Shuren,,Q16904938
Q79399,Cui Yuanji,Tang dynasty person CBDB = 177119,Q45455685
Q79402,Zhao Yuankai,"person, CBDB ID = 376499",Q10539983
Q79405,馮慈明,,Q11668138
Q79408,Q28478711,,Q28478711
Q7941,Daughter of the Awata clan,,Q106247444
Q79411,Yu Zhong,Northern Wei regent,Q8060000
Q79414,Q66777289,,Q66777289
Q79417,拓跋霄,,Q11497789
Q79420,Q18651607,,Q18651607
Q79423,Yuan Ni,,Q18579022
Q79428,元善,,Q11387807
Q79431,Q61723519,,Q61723519
Q79434,Yuan He,Northern Wei general,Q1092518
Q79437,Gao You,"person, CBDB = 194398",Q17990933
Q79440,Gao Zhen,"person, CBDB = 172839",Q45511986
Q79443,Gao Dezheng,,Q15940751
Q79445,Q61723555,,Q61723555
Q79448,Q61723561,,Q61723561
Q79451,Wang  Senglang,,Q22814767
Q79454,Wang Jingwen,Liu Song official,Q22814881
Q79457,Q66776942,,Q66776942
Q79460,Q16077209,,Q16077209
Q79463,Xie Yang,,Q17027024
Q79466,謝朏,,Q10527961
Q79469,Q28481322,,Q28481322
Q79472,元淵,,Q22814818
Q79475,Q21094112,,Q21094112
Q79478,Q26184546,,Q26184546
Q79481,Lu Miao,former Yan person CBDB = 31529,Q18110988
Q79484,Cui Ying,Eastern Jin dynasty person CBDB = 32625,Q11477187
Q79487,Cui Yin,Liu Song dynasty person CBDB=32626,Q45421892
Q79490,Q67944825,,Q67944825
Q79493,Lu Jingzhi,"person, CBDB = 179115",Q26186353
Q79496,Lu Xunzhi,"person, CBDB = 179033",Q26186343
Q79499,Lu Xizhi,"person, CBDB = 179136",Q45563520
Q79502,Lu Jingrou,Northern Zhou person CBDB=32651,Q45421939
Q79505,Lu Jingkai,"person, CBDB = 179139",Q45563711
Q79508,Lu Mou,"person, CBDB = 179194",Q45566977
Q7951,Nariyoshi,son of emperor Saga,Q11541388
Q79511,Lu Jingtong,"person, CBDB = 179300",Q26186472
Q79514,Q26186511,,Q26186511
Q79517,盧潜,,Q11581528
Q7952,Minamoto no Sadamu,Japanese court noble,Q11564052
Q79520,Lu Shisui,"person, CBDB = 179431",Q18233583
